;ComplaintType;Complaint;Date;Decision;Report_name;PrimaryKey
2274;Principles and Publications;Complaint of Shri Dev Raj Vinaik, Brick Kiln Owner, Haryana against Edi-tor, Adbi Mehfil, Hindi Fort., Yamunagar.;June 19, 1995;A;AnnualReport1996;2274
2275;Principles and Publications;Complaint of Shri R.P. Aggarwal, Assis-tant Engineer, Lucknow against Navratri, Hindi Weekly of Meerut.;June 19, 1995;A;AnnualReport1996;2275
2281;Principles and Publications;Complaint of Shri Ramji Lal, Member of Parliament;(Rajya Sabha) New Delhi against Haryana Janpath Samachar', Hindi Dainik, Haryana;B;AnnualReport1996;2281
2282;Principles and Publications;Complaint of Shri Praveen Kumar, Cor-respondent, Mazdoor Morcha, Karnal against 'Maar Dhaar', Hindi Fort., Karnal, Haryana.;(Rajya Sabha) New Delhi against Haryana Janpath Samachar', Hindi Dainik, Haryana;A;AnnualReport1996;2282
2284;Principles and Publications;Complaint of Shri P.K. Johari, and others of M.P. through Smt. Suchitra A. Chitale, Advocate, New Delhi against 'Dashpur Deep' Hindi Weekly, Neemuch Cantt. (Μ.Ρ.);(Rajya Sabha) New Delhi against Haryana Janpath Samachar', Hindi Dainik, Haryana;A;AnnualReport1996;2284
2285;Principles and Publications;Complaint of Shri Kushal Chand Bader, Hony. Secretary, Shri S.S. Jain Subodh Shiksha Samiti, Jaipur Rajasthan against Gulabi Jagat Samachar Saptahik, Jaipur.;(Rajya Sabha) New Delhi against Haryana Janpath Samachar', Hindi Dainik, Haryana;A;AnnualReport1996;2285
2287;Principles and Publications;Complaint of Indira Gandhi National Open University through its Registrar (Admn.) New Delhi against Jansatta, New Delhi.;June 19, 1995;C;AnnualReport1996;2287
2288;Principles and Publications;Complaint of Shri K. Narayanan, Ex Reg-istrar, (Admn.) I.G.N.O.U., New Delhi against Jansatta, New Delhi.;June 19, 1995;C;AnnualReport1996;2288
2294;Principles and Publications;Complaints of Tapan Mitra, Personnel Manager, Voltas Ltd., Nagpur against Chandrapur Mahanagar, Chandrapur (MS) and Nagpur Mahasagar, Nagpur.;August 4, 1995;A;AnnualReport1996;2294
2297;Principles and Publications;Complaint of Dr. Shobha Kant Jha, Training Incharge, Bihar Education Project, Betia, Bihar against 'Nishigandha', Betia, Bihar.;October 12, 1995;A;AnnualReport1996;2297
2305;Principles and Publications;Complaint of Shri Ramji Mal Agarwal, Advocate, Bareilly against Bareilly Darshan', Hindi Fort., Bareilly.;October 12, 1995;A;AnnualReport1996;2305
2306;Principles and Publications;Complaints of Dr. Arun Kumar, Hony.;Secretary, Allahabad Medical Assocn., Allahabad against The Times of India, Lucknow Edition, and Dr. N.K. Keshwani, Associate Professor of Sur-gery, MLN Hospital, Allahabad against The Times of India.;C;AnnualReport1996;2306
2308;Principles and Publications;Complaint of Shri R.S. Bhatia, M.D., Hotel Delite,;NIT, Faridabad against Bharat Darshan, Faridabad, Hindi Daily.;D;AnnualReport1996;2308
2309;Principles and Publications;Complaint of Dr. B.K. Sinha, IPS, (Haryana) against Mazdoor Morcha, Faridabad, Haryana.;NIT, Faridabad against Bharat Darshan, Faridabad, Hindi Daily.;A;AnnualReport1996;2309
2323;Principles and Publications;Complaint of Shri Laxman Manchigaiah, Vice President, Karnataka Chitrakala, Bangalore against 'Savvy' Bombay.;Karnataka.;A;AnnualReport1996;2323
2332;Principles and Publications;Complaint of Shri Jagnnath Kamath. Special;Executive Magistrate, Brahmanpara, Ulhasnagar against Editor, Jyoti Jwala. Weekly Ulhasnagar.;A;AnnualReport1996;2332
2335;Principles and Publications;Complaint of Prof. Hiten Nag. Dinhata. Cooch Behar,;West Bengal against Uttar Banga Sambad, Bengali Daily.;A;AnnualReport1996;2335
2341;Principles and Publications;Complaint of Sh. Des Raj, Partner, M/s Gurmit Singh, Amin Chand Liquor vend Contractor, Gidderbaha against Ajit, Jallandhar, Punjab.;March 25, 1996;D;AnnualReport1996;2341
2354;Principles and Publications;Complaint of Sh. Jugal Kishore, Agra against Dainik Amar Ujala, Agra, U.P.;March 25, 1996;B;AnnualReport1996;2354
2356;Principles and Publications;Complaint of Sh. Dwarka Daga, Jaipur against Raj India, Jaipur.;March 25, 1996;D;AnnualReport1996;2356
2376;Press and Defamation ;Complaint of Shri Mangubhai Kota, Rajasthan and others, against Dainik the Editor, Rashtradoot, Kota, Rajasthan ;May6, 2004;Dismissed for non prosecution;AnnualReport2005;2376
2395;Press and Defamation ;Complaint ofShri Prafulbhai N. Thakkar, Ahmedabad, Gujarat against the Editor, Sandesh, Ahmedabad, Gujarat ;May 6, 2004 ;Dismissed for nonprosecution;AnnualReport2005;2395
2417;Communal, Casteist, Anti-National And Religious Writings ;Complaint of Shri Rajesh B. Shah and others, Ahmedabad Ahmedabad against Aarpaar,  ;May 6, 2004;Disposed of with directions;AnnualReport2005;2417
2422;Principles and Publication;Complaint of Superintendent of Police and Collector, Bhind, Madhya Pradesh;July 27, 2007;pursued;AnnualReport2008;2422
2435;Principles and Publication;Complaint of Smt. Atul Sharma, Secretary, Sankalp Shiksha Prasar Samiti, Meerut against Punjab Kesari, Delhi;October 4-5,  2007;Censured;AnnualReport2008;2435
2436;Press and Defamation;Complaint of Shri P.N. Thakkar, Ahmedabad against Sandesh, Ahmedabad;July 27, 2007;Proceedings dropped;AnnualReport2008;2436
2437;Press and Defamation;Complaint of Shri P.N. Thakkar, Ahmedabad against Sandesh, Ahmedabad;July 27, 2007;Proceedings dropped;AnnualReport2008;2437
2438;Press and Defamation;Complaint of Shri P.N. Thakkar, Ahmedabad against Sandesh, Ahmedabad;July 27, 2007;Proceedings dropped;AnnualReport2008;2438
2439;Press and Defamation;Complaint of Shri P.N. Thakkar, Ahmedabad against Sandesh, Ahmedabad;July 27, 2007;Proceedings dropped;AnnualReport2008;2439
2443;Press and Defamation;Complaint of Mrs. Madhurima Barua, Guwahati, Assam against Ajir Asom, Guwahati, Assam;July 27, 2007;Closed-devoid of merits;AnnualReport2008;2443
2448;Press and Defamation;Complaint of Shri P.B. Sathyan, State General Secretary, BJP Kissan Morcha, Aluva (Kerala) against Flash, Malayalam Mid Day daily, Thiruvananthapuram;July 27, 2007;Reprimanded;AnnualReport2008;2448
2456;Press and Defamation;Complaint of the Chief Manager, J. K. Industries Limited, Banmore, Madhya Pradesh against Dainik Chambal Vani, Gwalior;July 27, 2007;Reprimanded;AnnualReport2008;2456
2473;Press and Defamation;Complaint of Shri Kailash, SDE Legal, BSNL, Mathura, Uttar Pradesh against Data Sandesh, Agra;July 27, 2007;Sub-judice;AnnualReport2008;2473
2475;Press and Defamation;Complaint of Shri D.S. Murthy, IAS, former Commissioner of Marketing, Government of Andhra Pradesh, Hyderabad against Eenadu;October  4, 2007;Closed with observations;AnnualReport2008;2475
2479;Press and Defamation;Complaint of Shri Rajinder Singh, IPS, Inspector General of Police, Ferozpur Zone, Bathinda, Punjab against Amar Ujala, Jalandhar;October  4,2007;Directions;AnnualReport2008;2479
2482;Press and Defamation;Complaint of Dr. S.P. Gupta, Director, Ashirvad Hospital & Research Centre, Varanasi against Senior India, New Delhi;October  4,2007;Warned;AnnualReport2008;2482
2484;Press and Defamation;Complaint of Mrs. Renuka Patgri, Principal (Retd), Bajali College, Assam against Asomiya Pratidin, Guwahati, Assam;October  4,2007;Admonished;AnnualReport2008;2484
2486;Press and Defamation;Complaint of Miss Ruli Sharma, Nagoan, Assam against Janasadharan, Guwahati;October  4,2007;Censured;AnnualReport2008;2486
2488;Press and Defamation;Complaint of S.D.E. (Legal) B.S.N.L., against Aligarh Nagari, Aligarh, Uttar Pradesh;October  4, 2007;Sub-judice;AnnualReport2008;2488
2489;Press and Defamation;Complaint of Shri Vijay Kumar Gupta, Maurani Pura, Jhansi, Uttar Pradesh, against Saptahik Parakh, Jhansi Cantt. (U.P.);October  4, 2007;Warned;AnnualReport2008;2489
2490;Press and Defamation;Complaint of Shri Jagdish Kumar, Chief (PRO), Bilaspur, Chhattishgarh against Dainik Prajashakti, Bilaspur, Chhattishgarh;October  4, 2007;Censured;AnnualReport2008;2490
2491;Press and Defamation;Complaint of Shri Ajit Gulanikar, Consultant, Colaba, Mumbai against;October  4, 2007;Censured;AnnualReport2008;2491
2493;Press and Defamation;Complaint of Shri Amar Kumar Mondal, Jt. Secretary, Shramik Union, Hindustan Cables Ltd., Rupnarainpur Unit, Burdwan, West Bengal against Gramanchal Shilpanchaler Khabar, Burdwan, West Bengal;October  4, 2007;Reprimanded;AnnualReport2008;2493
2494;Press and Defamation;Complaint of Shri Ashok Chauhan, DSP, Haryana Police, District Karnal against Punjab Kesari;October  4, 2007;Complaint not substantiated;AnnualReport2008;2494
2497;Press and Defamation;Complaint of Smt. Nisha Trivedi, Unnao against The Aj, Kanpur, Uttar Pradesh;October  5, 2007;Closed;AnnualReport2008;2497
2507;Press and Defamation;Complaint of Shri Govind Bihari Nigam, Vice Chairman, Kalicharan Nigam Institute of Technology, Banda against Punjab Kesari, Delhi;October  5, 2007;Sub-judice;AnnualReport2008;2507
2513;Press and Morality;Suo-motu action against Debonair, Mumbai;October  5, 2007;Censured;AnnualReport2008;2513
2517;Principles and Publications;Complaint of Shri Sahab Singh Chauhan, MLA, Delhi against Punjab Kesari, Delhi.;August 7,2001;Disposed of with directions to publish clarification;AnnualReport2002;2517
2518;Principles and Publications;Complaint of Secretary, KIRDIT, Keonjhar against Daily Oriya Sambad, Orissa.;August 7,2001;Dismissed in view of amends made by the respondent;AnnualReport2002;2518
2540;Press and Defamation;Complaint of Shri Jagdish Kumar Tripathi, (Pujari), Shri Raghunath Mandir, Vijayraghavgarh, District Katni, M.P. against Desh Bandhu, Jabalpur.;August 7,2001;Disposed of with direction to publishs clarification;AnnualReport2002;2540
2545;Press and Defamation;Complaint of Shri Raju Kishan Chand Roheda, Ulhasnagar (Maharahstra) against Maharashtra Shaktishali.;August 7, 2002;Proceedings dropped;AnnualReport2002;2545
2548;Press and Defamation;Complaint of Dr. Y. Radha Krishna Murty, Member of Parliament against Eenadu.;December 3,2001;Disposed;AnnualReport2002;2548
2560;Press and Defamation;Complaint of Shri Shyam Lal Arya, Shahdara Delhi against Amar Ujala, Chandigarh.;February 25, 2002;Dismissed;AnnualReport2002;2560
2561;Press and Defamation;Complaint of Shri Shyarn Lal Arya, Shahdara Delhi against Dakshyug, Agra.;February 25, 2002;Dismissed;AnnualReport2002;2561
2562;Press and Defamation;Complaint of Shri D K Shiva Kumar, Minister for Co-operation, Government of Karnataka, Bangalore against Hai Bangalore.;February 25, 2002;Dismissed as withdrawn;AnnualReport2002;2562
2568;Press and Defamation;Complaint of Dr. S. Narasimha Reddy, Registrar, NTR University of Health Science, Vijayawada (Andhra Pradesh) against Eenadu.;February 25, 2002;Disposed of as settled;AnnualReport2002;2568
2569;Press and Defamation;Complaint of Dr. H.B. Lingamma, Director, HSIS (Medical) Services, Bangalore against Parisara Malinya, Bangalore.;February 25, 2002;Proceedings dropped with directions to publish rejoinder;AnnualReport2002;2569
2588;Press and Defamation;Complaint of Smt. (Dr.) Joyshree Goswami Mohanta, Member of Parliament (LS) against Sadin, Guwahati.;March 27, 2002;Disposed of with directions to publish clarification;AnnualReport2002;2588
2593;Press and Defamation;Complaint of Shri Ravinder Dwivedi, National President, Akhil Bhartiya Bharashtachar Nirmulan Samiti, Thane, Maharashtra against Navakalal.;March 27, 2002;Dismissed;AnnualReport2002;2593
2594;Press and Defamation;Complaint of Shri Ravinder Dwivedi, National President, Akhil Bhartiya Bharashtachar Nirmulan Samiti, Thane, Maharashtra against Loksatta.;March 27, 2002;Dismissed;AnnualReport2002;2594
2595;Press and Defamation;Complaint of Shri Ravinder Dwivedi, National President, Akhil Bhartiya Bharashtachar Nirmulan Samiti, Thane, Maharashtra against Mid-Day.;March 27, 2002;Dismissed;AnnualReport2002;2595
2596;Press and Defamation;Complaint of Shri Ravinder Dwivedi, National President, Akhil Bhartiya Bharashtachar Nirmulan Samiti, Thane, Maharashtra against Janmabhoomi.;March 27, 2002;Dismissed;AnnualReport2002;2596
2598;Press and Defamation;Complaint of Shri Anup Kumar Singh, Deputy;Commissioner of Police, Headquarter, Amravati, Maharashtra against Editor, Jan Madhyam, Amravati.;Upheld;AnnualReport2002;2598
2603;Communal, Casteist and Anti-National Writings;Complaint of the Secretary, Shiromani Gurudwara Prabhandhak Committee through his counsel Shri Balwinder Singh against The Punjab Kesari, Jalandhar.;August 7,2001;Proceedings dropped;AnnualReport2002;2603
2607;Press and Morality;Suo-motu inquiry against The Hindustan Times, New Delhi regarding publication of obscene photographs.;February 25, 2002;Upheld;AnnualReport2002;2607
2608;Press and Morality;Suo motu inquiry against The Asian Age, New Delhi regarding publication of obscene photographs.;February 25, 2002;Upheld;AnnualReport2002;2608
2610;Press and Morality;"Communication from Registrar of Newspapers for India (RNI), New Delhi regarding a sex related magazine ""Pudhira Punidhama""-Suo-motu action.";February 25, 2002;Upheld;AnnualReport2002;2610
2615;Principles and Publications;Complaint ofShri Sanjay Bhusreddy, IAS, Special Secretary, Housing, Government of U.P., Lucknow Hindustan, against Lucknow. ;Advise6. Complaintof ShriRavi Kumar, Calcutta Chairman, Motor Sports Club, Kolkata againstAutocar India, Mumbai. ;Directions ;AnnualReport2007;2615
2624;Principles and Publications;Complaint of Shri Sate Singh Rana, Member, BJP, Dehradun, Uttrakhand against Maidani Awaz, Dehradun, Uttrakhand. ;March 30, 2007;Proceedings dropped ;AnnualReport2007;2624
2629; Press and Defamation ;Complaint of Hon. Secretary, Sahyagiri Co-operative Housing Society, Mumbai against Confidence, Bi-Monthly, Mumbai. ;July 12, 2006 ;Directions;AnnualReport2007;2629
2632; Press and Defamation ;Complaint of Shri Pradyumna Sahastabhojanee, Architect-Urban Designer, Nagpur against The Hitavada, Nagpur. Admonished ;July 12, 2006 ;Directions ;AnnualReport2007;2632
2636; Press and Defamation ;Complaint of Shri Ravinder Diwedi, Bhrastachar Nirmulan Samiti, Thane, Maharashtra against Loksatta, Mumbai. ;July 12, 2006 ;Closed ;AnnualReport2007;2636
2637; Press and Defamation ;Complaint of Dr. Ram Lakhan Singh, Principal Chief Conservetor of Forest, Lucknow, U.P. against Hindustan, Lucknow. ;July 12, 2006 ;Reprimanded;AnnualReport2007;2637
2639; Press and Defamation ;"Complaint of Shri Shailander Yadav ""Lalai"", Minister of State, Social Welfare, Government of Uttar Pradesh against Amar Ujala, Varanasi. ";July 12, 2006 ; Dismissed being devoid of merit;AnnualReport2007;2639
2640; Press and Defamation ;Complaint of Shri Ashok Kumar Tomar, Principal, Rashtriya Inter College, Shahpur, U.P. against Amar Ujala, Meerut. ;July 12, 2006 ;Reprimanded ;AnnualReport2007;2640
2643; Press and Defamation ;Complaint of Shri Shatrughan Singh Chauhan, Journalist and former General Secretary, Samajwadi Party, U.P. against Aaj, Kanpur. ;July 12, 2006 ;Dismissed ;AnnualReport2007;2643
2645; Press and Defamation ;Complaint of Dr. S.R.Niranjan, Managing Director, Sun India Pharmacy Pvt. Ltd., Orai, U.P. against Dainik Bundelkhand Kranti, Orai, U.P. ;July 12, 2006 ;Dismissed;AnnualReport2007;2645
2646; Press and Defamation ;Complaint of Regional Manager, (PR & Publicity) LIC of India, Kanpur, U.P. against Saral Sahara, Unnao, U.Р. ; July 12, 2007;Warned;AnnualReport2007;2646
2649; Press and Defamation ;Complaint of Ms. R. Chandra, VicePresident, All India Democratic WomenAssociation against Dinamalar, Tiruchirapalli.; July 12, 2007; Disposed of with directions;AnnualReport2007;2649
2650; Press and Defamation ;Complaint of Dr. M.L. Khanna, General Secretary, DAV College Trust and Management Society, New Delhi against Punjab Kesari, New Delhi. ; July 12, 2007;Censured ;AnnualReport2007;2650
2651; Press and Defamation ;Complaint of Chief Administrative Officer, Indian Veterinary Research Institute, Izzatnagar, Bareilly, U.P. againstAmar Ujala, Bareilly, U.P. ; July 12, 2007;Disposed of with directions ;AnnualReport2007;2651
2652; Press and Defamation ;Complaint of Shri Manibhushan Tiwari, Inspector, Food and Supply, Yamuna Vihar, New Delhi against Nazar-Ki-Nazar, Delhi. ; July 12, 2007;Sub-judice;AnnualReport2007;2652
2653; Press and Defamation ;Complaint of Shri Jagdish Deol, General Secretary, DAV College Managing Committee Employee, New Delhi against Punjab Kesari, New Delhi. ; July 12, 2007;Censured;AnnualReport2007;2653
2665; Press and Defamation ;Complaint of Principal, Government Women College, Gurgaon, Haryana against Mahamedha, Delhi.;October 16, 2006;Disposed of;AnnualReport2007;2665
2670; Press and Defamation ;Complaint of Shri Dharambir Singh, Bijnore, U.P. against Amar Ujala, Meerut. ;October 16, 2006;Dismissed;AnnualReport2007;2670
2673; Press and Defamation ;Complaint of Principal, against S.D. College Din Pratidin, Haryana. ;October 16, 2006;No further action;AnnualReport2007;2673
2682; Press and Defamation ;Complaint of Shri Narsimha Reddy, D.G. and I.G. of Prisons and Correctional Services, Hyderabad against The Eenadu, Nellore edition, A.Р. ;October 16, 2006; Disposed of with directions;AnnualReport2007;2682
2688; Press and Defamation ;Complaint of Shri M.A. Basith, IPS, D.G. and I.G. of Prisons and Correctional Services, Hyderabad against The Vartha, Hyderabai.;October 16, 2006;Disposed of with directions;AnnualReport2007;2688
2690; Press and Defamation ;Complaint of Shri Narsimha Reddy, and I.P.S D.G. of Prisons and Correctional Services, Hyderabad against The Vaatha, Hyderabad. ;October 16, 2006;Directions ;AnnualReport2007;2690
2691; Press and Defamation ;Complaint of Shri M.A. Basith, and I.G. IPS, D.G. of Prisons and Correctional Hyderabad Services, against The Vartha, Hyderabad.;October 16, 2006; Disposed of with directions;AnnualReport2007;2691
2692; Press and Defamation ;Complaint of Shri M.A. Basith, IPS, D.G. and I.G. of Prisons and Correctional Services, Hyderabad against The Vartha, Hyderabad. ;October 16, 2006 ;Directions;AnnualReport2007;2692
2693; Press and Defamation ;Complaint of Shri M.A. Basith, IPS, D.G. and I.G. of Prisons and Correctional Services, Hyderabad against The Vartha, Hyderabad. ;October 16, 2006 ;Directions;AnnualReport2007;2693
2699; Press and Defamation ;Complaint of Father Paul G.D. Cunha, Parish Priest, Our Lady of Victories Church, Shimoga, Karnataka against Mathukathe, Bangalore. ;October 16, 2006 ;Admonished;AnnualReport2007;2699
2700; Press and Defamation ;Complaint of Dr. V.B. Tharakeshwar, Lecturer, Department of Translation Studies, Kannada University, Hampi and others, Karnataka against Hai Bangalore, Karnataka. ;October 16, 2006 ; Censured;AnnualReport2007;2700
2701; Press and Defamation ;Complaint of Dr. V.B. Tharakeshwar, Lecturer, Department of Translation Studies, Kannada University, Hampi and others, Karnataka against Hai Bangalore, Karnataka. ;October 16, 2006;Censured;AnnualReport2007;2701
2702; Press and Defamation ;Complaint of Dr. V.B. Tharakesłiwar, Lecturer, Department of Translation Studies, Kannada University, Hampi and others, Karnataka against Hai Bangalore, Karnataka. ;October 16, 2006;Censured;AnnualReport2007;2702
2703; Press and Defamation ;Complaint of Shri Om Prakash, Inspector General of Police, Northern Range Belgaum against Hai Bangalore, Karnataka.;October 16, 2006;Censured;AnnualReport2007;2703
2715; Press and Defamation ;Complaint of Shri D.S. Murthy, former Commissioner & Director of Marketing, Govt. of Andhra Pradesh, Hyderabad against Andhra Jyoti, Hyderabad. ;March 30, 2007;Closed;AnnualReport2007;2715
2716; Press and Defamation ;Complaint of Shri D.S. Murthy, former Commissioner & Director of Marketing, Govt. of Andhra Pradesh, Hyderabad against Andhra Jyoti, Hyderabad.; Closed  108. Complaint of Shri D.S. Murthy, former Commissioner & Director of Marketing, Govt. of Andhra Pradesh, Hyderabad against Andhra Jyoti, Hyderabad. ;Closed;AnnualReport2007;2716
2717; Press and Defamation ;Complaint of Shri D.S. Murthy, former Commissioner & Director of Marketing, Govt. of Andhra Pradesh, Hyderabad against Andhra Jyóti, Hyderabad. Date of Decision Category March ;30, 2007 ;Closed;AnnualReport2007;2717
2729; Press and Defamation ;Complaint of Smt. Purnima Das Baishya, editor, Hajor Batori, Kamrup, Assam against Dainik Asom, Guwahati, Assam. ;Closed for not being pursuant 122. Complaint of Shri Jagnnath Singh, Advocate, Anisabad, Patna, Bihar against Dainik Hindustan, Patna, Bihar. ;Closed ;AnnualReport2007;2729
2733; Press and Defamation ;Complaint of Shri J.C. Mohapatra, Chief of Communication, SAIL, Rourkela Steel Plant, Orissa against Shramika Mallika, Rourkela, Orissa. ;Closed for not being pursuant 122. Complaint of Shri Jagnnath Singh, Advocate, Anisabad, Patna, Bihar against Dainik Hindustan, Patna, Bihar. ;Directions;AnnualReport2007;2733
2745; Press and Defamation ;Complaint of Dr. Smt. Chandra Saita, Assistant Director (Rajbhasha), Employees Provident Fund Organisation, Indore against Chambal Chetna, Gwalior, Madhya Pradesh. ;March 30, 2007;Admonished;AnnualReport2007;2745
2750;Press and Morality;Complaint ofShri M.S.Kilpady, Mumbai against Afternoon Dispatch & Courier. ;July 12, 2006 ;Warned ;AnnualReport2007;2750
2767;Communal, Casteist, Anti-National And Religious Writings;Complaint of Major Ashish Nangia against Alsafa, Jammu. ;July 12, 2006 ;Censured;AnnualReport2007;2767
2779;Principles and Publications;Complaint of Sh. B K Tiwari, Execu-tive Editor, The Deshbandhu against Navbharat, Bilaspur;June 22, 1992;Regret & apology;AnnualReport1993;2779
2782;Principles and Publications;Complaint of Mr. Justice P. Kodan-da Ramayya, Chairman, Special Court, AP Land Grabing (Prohibi-tion) Act, Hyderabad against Andhra Prabha, Hyderabad;September 9, 1992;Rejected with observation;AnnualReport1993;2782
2785;Principles and Publications;Complaint of Mr. Pablo Bar-tholomew, photographer against 'Sunday' Calcutta;September 9, 1992;upheld;AnnualReport1993;2785
2799;Principles and Publications;Complaint of M/s. Usha Rectifier against against Dalal Street Journal, Bombay;March 31, 1993;Upheld (Displeasure);AnnualReport1993;2799
2800;Principles and Publications;Complaint of Sh. G.N. Sharma against Mid-day, Bombay;March 31, 1993;Publication of clarification directed;AnnualReport1993;2800
2804;Principles and Publications;Complaint of Sh.K.C John, Direc-tor, Institute of Journalism, Thiruvananthapuram Malayala Manorama against;March 31, 1993;Upheld (Displeasure);AnnualReport1993;2804
2805;Principles and Publications;Complaint of Sh.K.C John, Direc-tor, Institute of Journalism, Thiruvananthapuram against Kerala Kaumudi;March 31, 1993;Upheld (Displeasure);AnnualReport1993;2805
2806;Principles and Publications;Complaint of Sh. K.C John, Director Institute of Journalism, Thiruvananthapuram, against Mathrubhumi;March 31, 1993;Upheld (Displeasure);AnnualReport1993;2806
2808;Communal, Casteist and Anti-National Writings;Complaint of Sh. Zameer Ahmed Jumlana, Member, Indian Union Muslim League, Delhi against Jansatta, Delhi;June 22, 1992;Dismissed for non-prosecution with observation;AnnualReport1993;2808
2809;Communal, Casteist and Anti-National Writings;Complaint of Deputy Secretary (Home) Delhi Admn. against 'The Daily Pratap' New Delhi;September9, 1992;Border line case observations;AnnualReport1993;2809
2816;Communal, Casteist and Anti-National Writings;Complaint of Sh. R L Kain, General Secy. Dr. B. R. Ambedkar Vichar Manch, Delhi against TOI;March 31, 1993;Assurance;AnnualReport1993;2816
2819;Communal, Casteist and Anti-National Writings;Complaint of Sh. Mohinder Singh Chawla, Secretary, Gurudwara Singh Sabha, Kumardhubi Dhanbad against Janmat, Dhanbad;March 31, 1993;Publication of contradiction directed;AnnualReport1993;2819
2824;Press and Defamation;Complaint of Sh. D D Goyal, Com-mercial Department, M/s Driplex Water Engineering Ltd. against San-marg, Varanasi;June 22, 1992;Dismissed for Non-prosecution;AnnualReport1993;2824
2826;Press and Defamation;Complaint of Mrs. Manju Sharma, General Secretary, U.P. Congress Committee (1), Labour Cell, Muzaf-farnagar, U.P. against Dehat, Muzaffarnagar;June 22, 1992;Upheld (Censured);AnnualReport1993;2826
2832;Press and Defamation;Complaint of Sh. S. Venugopalan, Trustee Life Eternal Trust, Delhi against Sakal, Pune;June 22, 1992;Upheld (Censured);AnnualReport1993;2832
2833;Press and Defamation;Complaint of Sh. S Venugopalan, Trustee Life Eternal Trust, Delhi against Kesari, Pune;June 22, 1992;Clarification published;AnnualReport1993;2833
2834;Press and Defamation;Complaint of Sh. S. Venugopalan, Trustee Life Eternal Trust, Delhi against Aikya, Satara;June 22, 1992;Rejoinder directed-warned for non-compliance;AnnualReport1993;2834
2837;Press and Defamation;Complaint of Dr. Sukhpal Singh Verma against weekly Vidambana, Haridwar;June 22, 1992;Observations contradiction directed;AnnualReport1993;2837
2843;Press and Defamation;Complaint of Sh. Shankar Singh, Advocate against Jansatta Hindi daily of New Delhi;June 22, 1992;Sub-judice;AnnualReport1993;2843
2844;Press and Defamation;Complaint of Sh. G C Jain against Dainik Kalyug Darpan, Saharanpur, U.P.;June 22, 1992;Upheld (censured);AnnualReport1993;2844
2850;Press and Defamation;Complaint of Dr. Pushpa Jha against Daily Chautha Sansar, Indore;June 22, 1992;Upheld;AnnualReport1993;2850
2851;Press and Defamation;Complaint of Sh. K. Raju, President, Madurai Kamraj-Manomaniam Sundaranar University Teachers Association' Madurai against Dinamalar, Madurai;June 22, 1992;Contradiction directed;AnnualReport1993;2851
2856;Press and Defamation;Complaint of Shri Naresh Kumar Sharma c/o Shiv Diary against Doon Darpan, Dehradun;Sept 9, 1992;Contradiction directed;AnnualReport1993;2856
2863;Press and Defamation;Complaint of Sh. Shyam Aggarwal, Treasurer, Jan Adhikar Abhiyan, Delhi against Jansatta, New Delhi;September 9, 1992;Rejected;AnnualReport1993;2863
2867;Press and Defamation;Complaint of Sh. Mahendra Kumar, Proprietor, Shankar Namkeen Bhandar, Saharanpur against Dainik Sahkari Chintan' Saharan-pur, U.P.;September 9, 1992;Upheld (warned);AnnualReport1993;2867
2874;Press and Defamation;Complaint of Miss M Ambigapathi, Lecturer, Government College, Kumbakonam against Namadhu Kalugu Tamil Weckly of Madras;January 6, 1993;Upheld (censured);AnnualReport1993;2874
2878;Press and Defamation;Complaint of Sh. M A Hadi, Secretary, HEH The Nizam's Trust, Hyderabad against Sunday;January6, 1993;Upheld (warned);AnnualReport1993;2878
2883;Press and Defamation;Complaint of Sh. K. L. Meena against Amar Ujala, Meerut, U.P.;January 6, 1993;Upheld (warned);AnnualReport1993;2883
2888;Press and Defamation;Complaint of Sh. K. K. Arora, Vice-Chairman J N Educational Society, New Delhi against Jansatta, New Delhi;January 6, 1993;Upheld contradiction directed;AnnualReport1993;2888
2889;Press and Defamation;Complaint of Sh. K. K. Arora, Vice-Chairman J N Educational Society, New Delhi against Punjab Kesari, New Delhi;January 6, 1993;Upheld contradiction directed;AnnualReport1993;2889
2896;Press and Defamation;Complaint of Sh. Sita Ram Rajgar-hia against the Aaj, Patna;January 6, 1993;Upheld (Censured);AnnualReport1993;2896
2898;Press and Defamation;Complaint of Sh. Chandra Sarma, Joint Director, Soil Conservation Department, Guwahati against 'Mahanagar' Guwahati;January 6, 1993;Upheld (Censured);AnnualReport1993;2898
2901;Press and Defamation;Complaint of Sh. S. P. Gupta, Acting C&MD, Bongaigaon, Refinery & Petrochemicals Ltd., Assa against 'The News Front of Guwahati;January 6, 1993;Rejoinder directed;AnnualReport1993;2901
2913;Press and Defamation;Complaint of Deputy General Manager, Indian Ordnance Factory Katni against Hindi Weekly 'Shram Sudha' Katni, M.P.;January 6, 1993;Upheld (warned);AnnualReport1993;2913
2919;Press and Defamation;Complaint of Sh. Mohinder Singh Chawla, Secretary, Gurudwara Singh Sabha, Kumardhubi, Dhan-bad against Awaz, Dhanbad;March 31, 1993;Contradiction directed;AnnualReport1993;2919
2920;Press and Defamation;Complaint of Sh. Mohinder Singh Chawla, Secretary, Gurudwara Singh Sabha, Kumardhubi Dhanbad against Aaj, Dhanbad;March 31, 1993;Contradiction directed;AnnualReport1993;2920
2921;Press and Defamation;Complaint of the Secretary, Matru Sewa Sangh, Nagpur against Tarun Bharat, Nagpur;March 31, 1993;Contradiction directed;AnnualReport1993;2921
